"user_id";"user_name";"user_email";"user_type"
1;"mickey";"mickey_01@gmail.com";"seller"
2;"alex";"alex@gmail.com";"seller"
3;"rose";"rose@gmail.com";"buyer"
4;"christine";"christin@yahoo.com";"seller"
5;"edward";"edward@hotmail.xyz";"buyer"
6;"katana";"katana_069@gmail.com";"seller"
7;"david";"david@ymail.com";"buyer"
8;"james";"james_342@gmail.com";"buyer"
9;"amelia";"amelia_784@hotmail.com";"seller"
10;"liam";"liam_157@yahoo.com";"buyer"
11;"sophia";"sophia_318@gmail.com";"seller"
12;"noah";"noah_652@gmail.com";"buyer"
13;"olivia";"olivia_899@hotmail.com";"seller"
14;"ethan";"ethan_764@ymail.com";"buyer"
15;"emma";"emma_211@hotmail.com";"seller"
16;"mason";"mason_620@gmail.com";"buyer"
17;"ava";"ava_579@yahoo.com";"seller"
18;"logan";"logan_498@hotmail.com";"buyer"
19;"isabella";"isabella_803@ymail.com";"seller"
20;"lucas";"lucas_273@gmail.com";"buyer"
